NO;PENGUASAAN TANAH;PEMILIKAN TANAH;PENGGUNAAN TANAH;PEMANFAATAN TANAH;POTENSI TOL;Luas  m2
436;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;461
437;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;50
438;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;69
439;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;71
440;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;78
441;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;75
442;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;207
443;Fasos Fasum;Terdaftar dalam HGU baru (diluar penyisihan);Mushola;Sarana Ibadah;Sengketa, Konflik dan Perkara;265
444;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;153
445;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;126
446;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;140
447;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;65
448;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;70
449;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;70
450;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;64
451;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;87
452;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;56
453;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;128
454;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;101
455;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;69
456;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;90
457;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;121
458;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;109
459;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;106
460;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;119
461;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;120
462;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;179
463;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;70
464;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;133
465;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;219
466;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;172
467;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;158
468;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;342
469;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;130
470;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;99
471;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;164
472;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;147
473;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;128
474;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;91
475;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;125
476;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;133
477;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;76
478;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;106
479;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;223
480;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;144
481;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;106
482;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;122
483;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;122
484;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;129
485;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;178
486;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;96
487;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;95
488;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;51
489;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;112
490;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;182
491;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;171
492;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;186
493;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;219
494;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;116
495;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;109
496;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;126
497;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;146
498;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;106
499;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;100
500;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;126
501;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;131
502;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;87
503;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;89
504;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;86
505;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;87
506;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;90
507;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;90
508;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;101
509;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;97
510;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;105
511;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;111
512;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;139
513;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;118
514;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;262
515;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;186
516;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;228
517;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;323
518;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;128
519;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;138
520;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;347
521;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;165
522;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;98
523;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;149
524;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;161
525;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;168
526;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;236
527;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;291
528;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;174
529;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;149
530;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;132
531;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;152
532;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;264
533;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;336
534;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;155
535;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;96
536;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;117
537;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;341
538;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;304
539;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;176
540;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;185
541;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;192
542;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;158
543;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;122
544;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;100
545;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;205
546;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;828
547;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;196
548;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;149
549;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;156
550;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;155
551;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;347
552;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;324
553;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;317
554;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;304
555;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;336
556;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;152
557;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;131
558;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;128
559;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;254
560;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;234
561;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;187
562;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;185
563;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;183
564;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;185
565;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;178
566;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;292
567;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;521
568;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Penggilingan Padi;Tempat Usaha;Akses Reform;271
569;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;148
570;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;294
571;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;149
572;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;197
573;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;151
574;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;180
575;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;327
576;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;184
577;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;166
578;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;162
579;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;558
580;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;225
581;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;153
582;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;187
583;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;149
584;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;146
585;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;137
586;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;136
587;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;133
588;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;126
589;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;191
590;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;217
591;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;153
592;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;101
593;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;105
594;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;97
595;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;93
596;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;395
597;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;57
598;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;61
599;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;148
600;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;134
601;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;159
602;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;204
603;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;85
604;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;93
605;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;95
606;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;127
607;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;134
608;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;171
609;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;164
610;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;153
611;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;172
612;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;146
613;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;134
614;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;182
615;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;397
616;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;158
617;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;103
618;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;92
619;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;99
620;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;150
621;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;324
622;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;140
623;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;148
624;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;81
625;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;149
626;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;161
627;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;156
628;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;151
629;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;148
630;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;140
631;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;344
632;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;203
633;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;248
634;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;380
635;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;147
636;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;208
637;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;155
638;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;334
639;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;185
640;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;371
641;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;162
642;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;166
643;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;172
644;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;171
645;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;252
646;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;316
647;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;129
648;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;159
649;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;91
650;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;177
651;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;125
652;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;348
653;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;156
654;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;117
655;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;147
